[17:57:30.306] | INFO  | main                             | YandexComp                       | Open page 'Mobile'
[17:57:30.673] | INFO  | main                             | YandexComp                       | Select HUAWEI
[17:57:31.064] | INFO  | main                             | YandexComp                       | Select Xiaomi
[17:57:31.064] | INFO  | main                             | YandexComp                       | Sort HUAWEI and Xiaomi
[17:57:32.855] | INFO  | main                             | YandexComp                       | Wait button - 'see more'
[17:57:32.858] | INFO  | main                             | YandexComp                       | find
[17:57:32.871] | INFO  | main                             | YandexComp                       | Мобильные телефоны — купить на Яндекс.Маркете
[17:57:33.016] | INFO  | main                             | YandexComp                       | driver shutDown
[18:09:20.655] | INFO  | main                             | YandexComp                       | Initialized driver
[18:09:23.355] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (f792b864496d42e9eefad80868e7bd04)
[18:09:24.033] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[18:09:26.661] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[18:09:30.013] | INFO  | main                             | YandexComp                       | Open page 'Mobile'
[18:09:30.363] | INFO  | main                             | YandexComp                       | Select HUAWEI
[18:09:30.827] | INFO  | main                             | YandexComp                       | Select Xiaomi
[18:09:32.329] | INFO  | main                             | YandexComp                       | Wait button is clickable
[18:09:32.527] | INFO  | main                             | YandexComp                       | Sorted HUAWEI and Xiaomi
[18:09:32.540] | INFO  | main                             | YandexComp                       | Мобильные телефоны — купить на Яндекс.Маркете
[18:09:32.690] | INFO  | main                             | YandexComp                       | driver shutDown
[18:28:17.911] | INFO  | main                             | YandexComp                       | Initialized driver
[18:28:20.299] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (9c7bc312b91dd5a0d4b5e796d91156a2)
[18:28:21.904] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[18:28:23.574] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[18:28:27.351] | INFO  | main                             | YandexComp                       | Open page 'Mobile'
[18:28:27.713] | INFO  | main                             | YandexComp                       | Select HUAWEI
[18:28:28.102] | INFO  | main                             | YandexComp                       | Select Xiaomi
[18:28:29.774] | INFO  | main                             | YandexComp                       | Wait button is clickable
[18:28:29.971] | INFO  | main                             | YandexComp                       | Sorted HUAWEI and Xiaomi
[18:28:30.185] | INFO  | main                             | YandexComp                       | driver shutDown
[18:29:15.679] | INFO  | main                             | YandexComp                       | Initialized driver
[18:29:18.165] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (4c825e8a5066ae459d175af216aa7ee3)
[18:29:18.769] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[18:29:20.151] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[18:29:20.376] | INFO  | main                             | YandexComp                       | driver shutDown
[18:29:48.765] | INFO  | main                             | YandexComp                       | Initialized driver
[18:29:50.789] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (d34c2e954a9b45e4692418d5c58c5394)
[18:29:51.505] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[18:29:52.785] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[18:29:53.020] | INFO  | main                             | YandexComp                       | driver shutDown
[18:31:37.741] | INFO  | main                             | YandexComp                       | Initialized driver
[18:31:40.149] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (783bf3cd50cd97823037d64bf3996011)
[18:31:40.870] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[18:31:43.472] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[18:31:46.904] | INFO  | main                             | YandexComp                       | Open page 'Mobile'
[18:31:47.273] | INFO  | main                             | YandexComp                       | Select HUAWEI
[18:31:47.629] | INFO  | main                             | YandexComp                       | Select Xiaomi
[18:31:49.124] | INFO  | main                             | YandexComp                       | Wait button is clickable
[18:31:49.311] | INFO  | main                             | YandexComp                       | Sorted HUAWEI and Xiaomi
[18:31:49.489] | INFO  | main                             | YandexComp                       | driver shutDown
[18:35:30.898] | INFO  | main                             | YandexComp                       | Initialized driver
